城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,北京功道云科技有限公司,功道云科技,50-150人,未融资,数据分析,15k-30k,3-5年,本科,产业互联网、大数据、务实的团队,"移动互联网,教育",2019/8/14 17:44
北京,朝阳区,深圳市中手游网络科技有限公司,CMGE中手游,500-2000人,上市公司,数据分析师,6k-12k,1-3年,本科,大平台 晋升机会 福利待遇好 团队氛围棒,"移动互联网,游戏",2019/8/14 11:12
北京,朝阳区,北京心更远科技发展有限公司,火花思维,2000人以上,C轮,数据分析师,15k-20k,1-3年,本科,七险一金,"移动互联网,教育",2019/8/14 19:32
北京,朝阳区,北京妙医佳健康科技集团有限公司,妙健康,150-500人,C轮,数据分析师,15k-30k,1-3年,本科,六险一金，福利健全，平台发展前景好,移动互联网,2019/8/14 13:20
北京,朝阳区,北京金山网络科技有限公司,猎豹移动,500-2000人,上市公司,数据分析师,15k-25k,1-3年,本科,六险一金，免费班车，补助，年终奖，健身房,"移动互联网,信息安全",2019/8/14 20:31
北京,朝阳区,深圳瑞银信信息技术有限公司,瑞银信,2000人以上,不需要融资,数据分析,10k-20k,不限,本科,"五险一金,定期体检,每月补贴","移动互联网,金融",2019/8/14 8:56
北京,朝阳区,北京怡合春天科技有限公司,本木医疗,50-150人,不需要融资,数据分析师,15k-25k,3-5年,本科,数据产品,"移动互联网,消费生活",2019/8/14 10:29
北京,朝阳区,天创信用服务有限公司,天创信用,150-500人,B轮,数据分析师（数据产品开发与建模）,15k-30k,3-5年,本科,弹性工作，不打卡，领导nice，补充医疗,"移动互联网,金融",2019/8/14 9:32
北京,朝阳区,北京链家房地产经纪有限公司,北京链家,2000人以上,不需要融资,HRBP专员-数据分析,6k-11k,1-3年,本科,六险一金 定期培训 定期团建 带薪年假,房产家居,2019/8/14 18:46
北京,朝阳区,雪球（北京）技术开发有限公司,雪球,150-500人,D轮及以上,数据分析师-用户增长方向,18k-35k,3-5年,本科,六险一金 扁平管理 空间大,金融,2019/8/14 10:13
北京,朝阳区,北京弘合柏基金融信息服务有限责任公司,有利网,2000人以上,不需要融资,数据分析,10k-20k,1-3年,本科,五险一金，周末双休，带薪年假、节日福利,金融,2019/8/13 14:50
北京,朝阳区,北京金山网络科技有限公司,猎豹移动,500-2000人,上市公司,数据分析师,15k-30k,不限,本科,弹性工作 节日福利 每日餐补 七险一金,"移动互联网,信息安全",2019/8/14 0:59
北京,朝阳区,深圳瑞银信信息技术有限公司,瑞银信,2000人以上,不需要融资,数据分析师,10k-15k,1-3年,本科,五险一金，餐补，交通便利，环境高大上,"移动互联网,金融",2019/8/14 8:56
